"consumer","supplier","technician","reading_date","reading_value","address","tariff_zone","price_per_kwh","experience_years","meter_type"
"Коваленко Іван Петрович","ЕнергоПостач","Сидоренко Олег Миколайович","2024-09-01","1250.5","м. Київ, вул. Шевченка, 12, кв. 5","Денна","2.85","5","Електронний"
"Петренко Марія Василівна","ЕнергоПостач","Сидоренко Олег Миколайович","2024-09-01","875.2","м. Київ, вул. Лесі Українки, 3","Нічна","1.32","5","Електронний"
"Бондаренко Дмитро Сергійович","ЕкоЕнергія","Іваненко Андрій Васильович","2024-09-01","2100.8","м. Київ, просп. Перемоги, 33","Денна","2.85","3","Індукційний"
"Ткаченко Юлія Ігорівна","ЕкоЕнергія","Іваненко Андрій Васильович","2024-09-01","1560.3","м. Київ, вул. Хрещатик, 25","Денна","2.85","3","Індукційний"
"Кравченко Сергій Володимирович","ЕнергоПостач","Мельник Петро Олексійович","2024-09-02","950.7","м. Київ, вул. Саксаганського, 7","Нічна","1.32","7","Електронний"
"Марченко Ірина Олегівна","ЕнергоПостач","Мельник Петро Олексійович","2024-09-02","1850.4","м. Київ, вул. Богдана Хмельницького, 40","Денна","2.85","7","Електронний"
"Шевчук Павло Михайлович","ЕнергоПостач","Сидоренко Олег Миколайович","2024-09-02","1120.6","м. Київ, вул. Антоновича, 72","Денна","2.85","5","Індукційний"
"Гончарук Наталія Вікторівна","ЕкоЕнергія","Іваненко Андрій Васильович","2024-09-03","1980.9","м. Київ, вул. Велика Васильківська, 5","Денна","2.85","3","Індукційний"
"Лисенко Артем Олегович","ЕнергоПостач","Мельник Петро Олексійович","2024-09-03","765.2","м. Київ, вул. Дегтярівська, 33","Нічна","1.32","7","Електронний"
"Павленко Катерина Сергіївна","ЕнергоПостач","Сидоренко Олег Миколайович","2024-09-03","1420.8","м. Київ, вул. Євгена Коновальця, 18","Денна","2.85","5","Електронний"
"Ковальчук Михайло Іванович","ЕкоЕнергія","Іваненко Андрій Васильович","2024-09-04","1750.3","м. Київ, вул. Дорогожицька, 2","Денна","2.85","3","Індукційний"
"Бондаренко Дмитро Сергійович","ЕнергоПостач","Мельник Петро Олексійович","2024-09-04","2050.1","м. Київ, вул. Нижній Вал, 15","Денна","2.85","7","Електронний"
